ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1009.5	22.3	80.6	18.8	1.17	339	3.9	0.5	41.384421	2.117451
2	108.75	1008.2	21.2	90.6	19.6	3.98	262.9	4	0.5	41.384432	2.117492
6	185.76	999.4	22.1	89.9	20.4	3.99	262.2	3.9	0.5	41.384558	2.117663
17	195.3	998.3	21.73	87.1	19.5	4	261.7	4	0.6	41.384415	2.11783
18	197.01	998.1	21.68	86.9	19.4	4.02	260.7	4	0.6	41.384444	2.117881
19	200.07	997.7	21.65	86.9	19.4	4.02	259.9	4	0.7	41.384449	2.117961
20	203.21	997.4	21.62	86.9	19.3	4	259.3	3.9	0.7	41.384421	2.117984
21	208.6	996.7	21.53	87.1	19.3	3.98	258.2	3.9	0.8	41.384415	2.11799
22	211.45	996.4	21.51	87.1	19.3	3.98	257	3.9	0.9	41.384449	2.11799
24	218.82	995.6	21.39	87.3	19.2	3.94	256.2	3.8	0.9	41.384415	2.118053
25	223.77	995	21.34	87.6	19.2	3.91	255.4	3.8	1	41.384392	2.118024
26	228.02	994.5	21.28	87.7	19.2	3.93	254.3	3.8	1.1	41.384426	2.118059
27	231.11	994.2	21.22	87.7	19.1	3.9	253.7	3.7	1.1	41.384409	2.118128
28	237.07	993.5	21.2	87.9	19.1	3.82	253.7	3.7	1.1	41.384386	2.11815
29	239.45	993.2	21.14	88.1	19.1	3.77	253.6	3.6	1.1	41.384432	2.118145
30	245.24	992.6	21.08	88.3	19.1	3.72	253.5	3.6	1.1	41.384467	2.118202
31	246.88	992.4	21.03	88.4	19	3.63	253.5	3.5	1	41.384421	2.118231
32	252.34	991.7	21.03	88.5	19.1	3.55	253.9	3.4	1	41.384403	2.118225
33	253.46	991.6	21.03	88.6	19.1	3.5	253.6	3.4	1	41.384461	2.118271
34	259.64	990.9	21	88.7	19.1	3.45	253.4	3.3	1	41.384472	2.11834
35	262.02	990.6	20.94	89.1	19.1	3.41	253.1	3.3	1	41.384432	2.118317
36	267.75	990	20.92	89.5	19.1	3.39	253.1	3.2	1	41.384449	2.118311
37	271.04	989.6	20.86	89.7	19.1	3.33	253	3.2	1	41.384512	2.118368
38	275.73	989.1	20.83	89.8	19.1	3.28	251.9	3.1	1	41.384507	2.118403
39	278.91	988.7	20.78	90.1	19.1	3.26	251	3.1	1.1	41.384472	2.11838
40	283.34	988.2	20.72	90.3	19.1	3.22	250.6	3	1.1	41.384495	2.118391
41	287.25	987.8	20.67	90.4	19	3.16	249.9	3	1.1	41.384552	2.11842
42	290.83	987.4	20.64	90.6	19	3.13	248.5	2.9	1.1	41.384541	2.11846
43	294.99	986.9	20.58	90.7	19	3.12	247.3	2.9	1.2	41.384501	2.118443
44	298.08	986.5	20.56	90.8	19	3.05	247.2	2.8	1.2	41.384535	2.118443
45	302.76	986	20.5	90.9	19	2.95	246.3	2.7	1.2	41.384581	2.118489
46	306.13	985.6	20.47	91.3	19	2.9	244.9	2.6	1.2	41.384552	2.118517
47	312.1	984.9	20.42	91.4	19	2.84	243.8	2.5	1.3	41.38453	2.118494
48	314.87	984.6	20.39	91.5	19	2.76	243.7	2.5	1.2	41.384581	2.118506
49	318.35	984.2	20.33	91.4	18.9	2.69	243.7	2.4	1.2	41.384564	2.11854
50	322.92	983.7	20.31	91.7	18.9	2.64	243.2	2.4	1.2	41.384541	2.118546
51	326.52	983.3	20.25	91.8	18.9	2.58	241.8	2.3	1.2	41.38457	2.118557
52	330.03	982.9	20.22	91.9	18.9	2.55	241.3	2.2	1.2	41.38457	2.118557
53	333.98	982.4	20.2	92.3	18.9	2.51	241.6	2.2	1.2	41.384598	2.118592
54	339.17	981.9	20.11	92.3	18.8	2.45	241.2	2.2	1.2	41.384598	2.118609
55	346.58	981	20.09	92.4	18.8	2.49	241.3	2.2	1.2	41.384581	2.11862
56	348.01	980.9	20.03	92.1	18.7	2.5	241.7	2.2	1.2	41.384564	2.118649
57	351.56	980.5	19.98	92.5	18.7	2.47	242.5	2.2	1.1	41.384564	2.11862
58	356.81	979.9	19.95	92.6	18.7	2.45	242.8	2.2	1.1	41.384598	2.11862
59	362.25	979.2	19.9	93.1	18.8	2.48	242.1	2.2	1.2	41.38461	2.118678
60	367.56	978.6	19.87	93.3	18.8	2.53	241.5	2.2	1.2	41.384575	2.118712
