ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1005.1	28.03	66.1	21.1	2.33	114	-4.9	3.8	41.384484	2.117371
14	166.29	997.4	25.2	99.5	25.1	6.19	127.6	-4.9	3.8	41.384352	2.117692
15	168.8	997.1	25.2	99.6	25.1	6.19	127.9	-4.9	3.8	41.384507	2.117686
19	173.72	996.5	24.72	94.2	23.7	6.17	127.9	-4.9	3.8	41.384684	2.117486
20	174.66	996.4	24.66	92.5	23.4	6.12	127.3	-4.9	3.7	41.384661	2.117492
21	175.96	996.3	24.69	91	23.1	6.06	126.4	-4.9	3.6	41.384633	2.117469
22	180.55	995.8	24.57	89.7	22.8	6	125.2	-4.9	3.5	41.384621	2.117429
23	184.34	995.3	24.45	88.5	22.4	5.97	124.5	-4.9	3.4	41.384644	2.117354
24	186.29	995.1	24.36	87.3	22.1	5.94	124.2	-4.9	3.3	41.384701	2.117257
25	189.23	994.8	24.27	86	21.8	5.9	124.4	-4.9	3.3	41.384724	2.117159
26	191.4	994.5	24.18	85.7	21.6	5.84	125.1	-4.8	3.4	41.384707	2.117102
27	195.88	994	24.18	84.9	21.5	5.76	125.6	-4.7	3.4	41.384684	2.117091
28	201.62	993.4	24.15	84.3	21.3	5.67	126	-4.6	3.3	41.384707	2.117091
29	206.36	992.8	24.12	84.2	21.3	5.57	126.1	-4.5	3.3	41.384759	2.117085
30	210.24	992.4	24.06	83.6	21.1	5.52	126	-4.5	3.2	41.384827	2.117062
31	212.9	992.1	24	83.2	21	5.55	126.2	-4.5	3.3	41.384896	2.117027
33	221.55	991.1	23.85	82.5	20.7	5.63	126.6	-4.5	3.4	41.384976	2.116907
34	226.4	990.6	23.82	82.5	20.7	5.74	127.1	-4.6	3.5	41.384976	2.116833
35	231.98	989.9	23.79	82.7	20.7	5.85	127.4	-4.6	3.6	41.384982	2.116775
