ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1009.2	26.38	58.7	17.6	1.17	59	-0.5	-3.2	41.384467	2.117566
12	126.04	1005.9	25.57	81.5	22.2	3.26	7.8	-0.4	-3.2	41.384455	2.117555
15	130.77	1005.4	27	75.2	22.2	3.26	7.7	-0.4	-3.2	41.384455	2.117383
16	132.04	1005.3	27.12	73.1	21.9	3.24	7.8	-0.4	-3.2	41.384421	2.117434
18	135.6	1004.9	27.16	68.2	20.8	3.25	8.8	-0.5	-3.2	41.384289	2.117434
19	137.99	1004.6	27.16	66.4	20.4	3.29	9.4	-0.5	-3.3	41.384335	2.11736
20	141.1	1004.2	27.19	64.4	19.9	3.33	9.1	-0.5	-3.3	41.384386	2.117388
21	144.67	1003.8	27.19	63.1	19.6	3.34	9.1	-0.5	-3.3	41.384358	2.117474
22	145.96	1003.7	27.19	61.9	19.2	3.38	9.9	-0.6	-3.3	41.384283	2.117469
23	147.11	1003.6	27.19	60.9	19	3.46	10.3	-0.6	-3.4	41.38422	2.117429
24	152.1	1003	27.16	60	18.7	3.54	10.4	-0.6	-3.5	41.384186	2.117406
25	157.42	1002.4	27.19	59.2	18.5	3.63	10.1	-0.6	-3.6	41.384169	2.117417
26	161.49	1001.9	27.25	58.4	18.4	3.71	9.7	-0.6	-3.7	41.38418	2.11744
27	166.18	1001.4	27.28	57.5	18.2	3.82	9.3	-0.6	-3.8	41.384197	2.117446
28	169.9	1001	27.28	57.2	18.1	3.95	9.3	-0.6	-3.9	41.384157	2.117411
29	172.31	1000.7	27.31	56.3	17.8	4.03	8.8	-0.6	-4	41.384088	2.1174
30	176.82	1000.2	27.41	55.6	17.7	4.08	8.1	-0.6	-4	41.384043	2.117429
31	181.94	999.6	27.44	55	17.6	4.17	7.9	-0.6	-4.1	41.384025	2.117463
33	190.27	998.7	27.5	54.1	17.4	4.32	8.4	-0.6	-4.3	41.384014	2.117423
34	195.35	998.1	27.54	53.3	17.2	4.44	8.7	-0.7	-4.4	41.384014	2.117394
35	198.68	997.7	27.63	53	17.2	4.48	8.9	-0.7	-4.4	41.383985	2.117377
36	203.81	997.2	27.66	52.7	17.1	4.49	9	-0.7	-4.4	41.383945	2.117366
37	207.93	996.7	27.7	52.2	17	4.47	9.2	-0.7	-4.4	41.383911	2.117371
38	212.44	996.2	27.7	51.9	16.9	4.46	9.6	-0.7	-4.4	41.383871	2.117383
39	217.65	995.6	27.63	51.7	16.8	4.44	10.3	-0.8	-4.4	41.383842	2.117383
40	220.87	995.2	27.6	51.6	16.7	4.41	10.6	-0.8	-4.3	41.383825	2.117383
41	223.82	994.9	27.54	51.4	16.6	4.38	11	-0.8	-4.3	41.383831	2.117388
42	226.72	994.6	27.5	51.2	16.5	4.33	12.1	-0.9	-4.2	41.383848	2.117388
43	230.76	994.1	27.5	51	16.5	4.23	13.5	-1	-4.1	41.383836	2.117377
44	235.28	993.6	27.54	50.7	16.4	4.13	14.3	-1	-4	41.383802	2.117354
45	238.06	993.3	27.54	50.6	16.4	4.05	14.8	-1	-3.9	41.38375	2.117331
46	242.61	992.8	27.54	50.4	16.3	3.98	15.4	-1.1	-3.8	41.38371	2.117343
47	245.61	992.5	27.54	50.4	16.3	3.9	16.1	-1.1	-3.7	41.383693	2.117377
48	249.48	992	27.47	50.2	16.2	3.82	16.9	-1.1	-3.7	41.383704	2.117388
49	252.38	991.7	27.47	50.1	16.2	3.71	18	-1.1	-3.5	41.383727	2.117371
50	255.2	991.4	27.44	50.1	16.1	3.58	19.4	-1.2	-3.4	41.383745	2.117348
51	259.88	990.9	27.5	49.5	16	3.47	21.1	-1.3	-3.2	41.383739	2.117331
52	262.44	990.6	27.6	49.3	16	3.41	22.7	-1.3	-3.1	41.38371	2.117314
