ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1006.9	24.93	62.1	17.2	0	0	2.4	-0.3	41.384524	2.117429
2	132.37	1003	25.7	75	20.9	2.42	276.3	2.4	-0.3	41.384415	2.117761
3	137.8	1002.3	25.66	74.2	20.7	2.46	275.5	2.5	-0.2	41.384421	2.117755
4	140.85	1002	25.54	71.5	20	2.53	275	2.5	-0.2	41.384432	2.117698
5	144.53	1001.6	25.42	71.1	19.8	2.64	275.8	2.6	-0.3	41.384398	2.117646
6	148.74	1001.1	25.39	69.2	19.3	2.74	277.1	2.7	-0.3	41.384352	2.117692
7	151.61	1000.8	25.33	68.5	19.1	2.82	277.5	2.8	-0.4	41.384403	2.117738
8	156.65	1000.2	25.3	67.6	18.9	2.96	277.3	2.9	-0.4	41.384438	2.117749
9	158.53	1000	25.27	66.3	18.5	3.13	277.1	3.1	-0.4	41.384415	2.117755
10	163.08	999.5	25.33	64.6	18.2	3.3	276.3	3.3	-0.4	41.384375	2.117749
11	169.65	998.7	25.24	65.8	18.4	3.44	275.3	3.4	-0.3	41.384363	2.117749
12	175.53	998.1	25.21	62.4	17.5	3.58	274.1	3.6	-0.3	41.384381	2.117749
13	179.45	997.6	25.36	60.8	17.2	3.71	273.2	3.7	-0.2	41.384426	2.117755
14	184.42	997	25.45	59.8	17.1	3.82	272.8	3.8	-0.2	41.384467	2.117772
15	189.06	996.5	25.42	59.6	17	3.97	272.5	4	-0.2	41.384444	2.11779
16	192.76	996.1	25.36	59.4	16.9	4.13	271.4	4.1	-0.1	41.384398	2.11783
17	198.5	995.5	25.3	59.3	16.8	4.29	269.5	4.3	0	41.384363	2.117864
19	207.01	994.5	25.27	57.8	16.4	4.44	268.3	4.4	0.1	41.384329	2.117898
20	212.6	993.9	25.27	57.6	16.3	4.55	267.8	4.5	0.2	41.384318	2.117944
21	216.69	993.4	25.3	57.2	16.2	4.64	267	4.6	0.2	41.384335	2.11799
22	221.77	992.8	25.45	56.2	16.1	4.75	265.8	4.7	0.3	41.384346	2.118019
23	226.03	992.3	25.48	56.2	16.1	4.88	264.7	4.9	0.5	41.384346	2.118053
25	235.78	991.2	25.45	55.8	16	5.03	263.7	5	0.5	41.384352	2.118133
26	241.19	990.6	25.42	55.2	15.8	5.19	263.1	5.2	0.6	41.38434	2.118156
27	245.59	990.1	25.42	55.5	15.9	5.35	262.7	5.3	0.7	41.384323	2.118196
28	250.59	989.6	25.3	55.5	15.8	5.48	262.1	5.4	0.8	41.384329	2.118242
29	254.55	989.1	25.33	54.7	15.6	5.58	261.3	5.5	0.8	41.38434	2.118288
30	259.46	988.6	25.42	54.5	15.6	5.69	260.5	5.6	0.9	41.384346	2.11834
31	263.51	988.1	25.39	54.6	15.6	5.83	259.4	5.7	1.1	41.384363	2.118385
32	267.59	987.7	25.33	54.5	15.5	5.97	258.1	5.8	1.2	41.384369	2.118414
33	272.3	987.1	25.27	54.6	15.5	6.09	257	5.9	1.4	41.384375	2.118437
34	276.04	986.7	25.24	54.5	15.4	6.2	256.2	6	1.5	41.384381	2.118471
35	281.78	986.1	25.15	54.6	15.4	6.3	255.4	6.1	1.6	41.384381	2.1185
36	286.6	985.5	25.12	54.4	15.3	6.4	254.4	6.2	1.7	41.384381	2.118534
37	289.95	985.2	25.09	54.3	15.2	6.5	253.2	6.2	1.9	41.384386	2.118569
38	295.9	984.5	25.09	54.2	15.2	6.61	251.6	6.3	2.1	41.384392	2.118592
39	300.18	984	25.03	54.3	15.2	6.72	250	6.3	2.3	41.384403	2.118626
40	304.84	983.5	25	54	15	6.81	248.7	6.3	2.5	41.384426	2.118655
41	309.81	982.9	24.97	54	15	6.89	247.6	6.4	2.6	41.384444	2.118689
42	314.55	982.4	24.94	53.9	15	6.95	246.5	6.4	2.8	41.384461	2.118729
43	319.12	981.9	24.94	53.9	15	7.03	245.4	6.4	2.9	41.384478	2.118769
44	324.14	981.3	24.91	54	15	7.12	244.2	6.4	3.1	41.384484	2.118815
45	328.66	980.8	24.88	53.9	14.9	7.21	243	6.4	3.3	41.384495	2.118861
46	332.9	980.3	24.85	54	14.9	7.3	241.7	6.4	3.5	41.384507	2.118901
47	338.99	979.7	24.76	54.1	14.9	7.4	240.4	6.4	3.7	41.384512	2.118935
48	344.57	979	24.76	54	14.8	7.48	239.2	6.4	3.8	41.38453	2.118976
49	350.22	978.4	24.73	54.1	14.8	7.57	238	6.4	4	41.384547	2.119004
50	355.73	977.8	24.73	54	14.8	7.66	237	6.4	4.2	41.38457	2.119039
51	360.39	977.3	24.7	54.1	14.8	7.77	236.2	6.5	4.3	41.384593	2.119084
52	365.73	976.7	24.64	54.1	14.7	7.88	235.4	6.5	4.5	41.384615	2.11913
53	371.68	976	24.61	54.2	14.7	7.98	234.7	6.5	4.6	41.384633	2.119182
54	376.51	975.5	24.55	54.3	14.7	8.05	234	6.5	4.7	41.384656	2.119239
55	380.87	975	24.49	54.3	14.7	8.09	233.3	6.5	4.8	41.384673	2.119296
56	385.76	974.5	24.46	54.5	14.7	8.11	232.6	6.4	4.9	41.38469	2.119348
57	392.43	973.7	24.43	54.1	14.5	8.11	231.8	6.4	5	41.384707	2.119394
58	398.29	973.1	24.4	54.2	14.5	8.11	231	6.3	5.1	41.38473	2.119434
59	404.67	972.4	24.38	54.2	14.5	8.11	230.1	6.2	5.2	41.384759	2.119463
60	409.63	971.8	24.35	54.2	14.5	8.1	229.3	6.1	5.3	41.384787	2.119491
61	414.92	971.2	24.32	54.1	14.4	8.08	228.3	6	5.4	41.384827	2.11952
62	418.77	970.8	24.29	54.2	14.4	8.06	227.3	5.9	5.5	41.384868	2.119549
63	423.75	970.2	24.26	54.3	14.4	8.02	226.1	5.8	5.6	41.384908	2.119594
64	429.05	969.7	24.22	54.2	14.4	7.97	224.9	5.6	5.6	41.384942	2.119646
65	435.17	969	24.19	54.4	14.4	7.91	223.7	5.5	5.7	41.384976	2.119692
66	440.03	968.4	24.13	54.5	14.4	7.85	222.4	5.3	5.8	41.384994	2.119732
67	445.57	967.8	24.07	54.6	14.4	7.79	221	5.1	5.9	41.385017	2.119772
68	450.27	967.3	24.04	54.7	14.4	7.73	219.7	4.9	5.9	41.385045	2.119801
69	454.36	966.9	23.96	54.6	14.3	7.67	218.3	4.8	6	41.385062	2.119835
70	460.78	966.1	23.96	53.3	13.9	7.61	216.9	4.6	6.1	41.385091	2.119881
