ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1005.7	24.78	65.4	17.9	0	0	-0.2	-1.8	41.384558	2.117532
21	182.97	996	24.66	82.7	21.5	1.89	7	-0.2	-1.9	41.384747	2.117635
22	186.99	996	24.84	81.5	21.5	1.92	7.4	-0.2	-1.9	41.384679	2.117515
23	189.24	995.8	24.87	80.1	21.2	1.92	7.7	-0.3	-1.9	41.384696	2.117474
24	190.58	995.6	24.84	78.8	20.9	1.88	7.1	-0.2	-1.9	41.38469	2.117537
25	192.8	995.4	24.78	77.7	20.6	1.83	6.8	-0.2	-1.8	41.38465	2.117578
26	194.58	995.2	24.75	76.4	20.3	1.83	7.7	-0.2	-1.8	41.384598	2.117532
27	198.56	994.7	24.72	75.1	20	1.8	7.3	-0.2	-1.8	41.384581	2.117469
28	201.63	994.4	24.69	74	19.7	1.76	5.4	-0.2	-1.7	41.384604	2.117509
30	206.73	993.8	24.6	72.2	19.3	1.71	3.8	-0.1	-1.7	41.384518	2.117549
31	210.25	993.4	24.57	71.6	19.1	1.7	4	-0.1	-1.7	41.384518	2.117503
32	213.35	993	24.51	71	18.9	1.7	2.8	-0.1	-1.7	41.384547	2.117509
33	215.74	992.8	24.42	70.4	18.7	1.62	1	-0	-1.6	41.38453	2.117566
34	217.6	992.6	24.36	70.1	18.6	1.49	358.7	0	-1.5	41.384478	2.117578
35	221.33	992.1	24.33	69.8	18.5	1.42	355.8	0.1	-1.4	41.384467	2.117532
37	226.72	991.5	24.3	69.1	18.3	1.37	354.6	0.1	-1.4	41.384478	2.117583
38	228.38	991.3	24.39	67.5	18	1.32	353	0.2	-1.3	41.384415	2.117549
39	231.28	991	24.63	67.2	18.1	1.23	348.2	0.3	-1.2	41.384398	2.117492
40	234.09	990.7	24.66	66.7	18	1.12	342.3	0.3	-1.1	41.384415	2.117532
41	238.1	990.3	24.69	66.1	17.9	1.03	338.6	0.4	-1	41.384438	2.117606
42	242.39	989.8	24.72	65.9	17.9	0.97	335.1	0.4	-0.9	41.384461	2.117566
43	244.17	989.6	24.69	65.2	17.7	0.96	328	0.5	-0.8	41.384409	2.117486
44	249.08	989	24.69	65	17.7	0.96	320	0.6	-0.7	41.384369	2.117526
46	253.08	988.6	24.66	64.5	17.5	0.98	314.4	0.7	-0.7	41.384444	2.1176
47	255.85	988.3	24.63	64.3	17.4	0.99	311.5	0.7	-0.7	41.384438	2.1176
48	259.74	987.8	24.6	64	17.3	0.99	306.7	0.8	-0.6	41.384409	2.11756
49	264	987.3	24.63	63.8	17.3	1	299.6	0.9	-0.5	41.384386	2.117566
50	267.31	987	24.66	63.6	17.3	1.02	290.1	1	-0.4	41.384369	2.117646
51	272.55	986.4	24.66	63.4	17.2	1.07	282.3	1	-0.2	41.384398	2.117686
52	275.66	986	24.6	63.3	17.2	1.12	276.1	1.1	-0.1	41.384426	2.117652
53	278.93	985.7	24.54	63.3	17.1	1.19	270.7	1.2	-0	41.384392	2.117612
54	284.22	985.1	24.48	63.4	17.1	1.31	268	1.3	0	41.384363	2.117658
56	286.6	984.8	24.45	63.2	17	1.46	264.5	1.5	0.1	41.384432	2.117795
57	292.27	984.2	24.45	63	16.9	1.58	260.7	1.6	0.3	41.384461	2.117818
58	296.1	983.7	24.45	63	16.9	1.69	259.2	1.7	0.3	41.384432	2.117784
59	301.66	983.1	24.39	63.2	16.9	1.81	258.7	1.8	0.4	41.384398	2.117772
60	305.05	982.7	24.33	63.1	16.9	1.94	257.7	1.9	0.4	41.384398	2.11783
61	308.28	982.4	24.3	63.3	16.9	2.07	256.8	2	0.5	41.384432	2.117875
62	311.69	982	24.24	63.3	16.8	2.15	256.8	2.1	0.5	41.384455	2.11787
63	315.73	981.5	24.2	63.3	16.8	2.18	257.7	2.1	0.5	41.384444	2.11787
64	320.08	981	24.17	63.2	16.7	2.23	259.3	2.2	0.4	41.384426	2.117864
65	324.29	980.6	24.14	63.4	16.8	2.32	260.4	2.3	0.4	41.384409	2.11787
67	329.46	980	24.08	63.5	16.7	2.35	260.3	2.3	0.4	41.384438	2.117956
68	333.53	979.5	24.05	63.6	16.7	2.3	261.2	2.3	0.4	41.384455	2.117967
69	338.07	979	23.99	63.6	16.7	2.27	262.7	2.2	0.3	41.384449	2.117944
70	342.52	978.5	23.93	63.7	16.6	2.28	262.7	2.3	0.3	41.384438	2.117938
71	346.87	978	23.9	63.6	16.6	2.31	262.4	2.3	0.3	41.384444	2.117956
72	351.12	977.6	23.9	63.7	16.6	2.28	262.5	2.3	0.3	41.384472	2.117979
73	355.73	977.1	23.87	63.8	16.6	2.24	263.8	2.2	0.2	41.384495	2.11799
74	358.87	976.7	23.81	63.9	16.6	2.24	266	2.2	0.2	41.384518	2.118019
75	363.94	976.1	23.79	63.9	16.5	2.28	268.2	2.3	0.1	41.384507	2.118076
76	368.22	975.7	23.73	64.1	16.5	2.31	269.6	2.3	0	41.384484	2.118128
77	373.37	975.1	23.76	63.8	16.5	2.31	270.6	2.3	-0	41.384467	2.11815
78	375.83	974.8	23.81	63.5	16.5	2.31	271.7	2.3	-0.1	41.384461	2.11815
79	380.28	974.3	23.81	63.3	16.4	2.33	272.2	2.3	-0.1	41.384449	2.118128
80	386.08	973.7	23.81	63.3	16.4	2.36	272.8	2.4	-0.1	41.384444	2.118122
81	389.1	973.3	23.79	63.3	16.4	2.38	274.1	2.4	-0.2	41.384449	2.118133
82	393.11	972.9	23.76	63.3	16.4	2.39	276.2	2.4	-0.3	41.384449	2.11815
83	399.62	972.2	23.73	63.2	16.3	2.41	278.2	2.4	-0.3	41.384455	2.118168
84	402.9	971.8	23.7	63.3	16.3	2.45	279.7	2.4	-0.4	41.384455	2.118191
85	405.79	971.5	23.67	63.3	16.3	2.44	280.9	2.4	-0.5	41.384444	2.118208
86	410.94	970.9	23.64	63.4	16.3	2.4	282	2.3	-0.5	41.384421	2.118225
87	413.82	970.6	23.61	63.3	16.2	2.32	282.9	2.3	-0.5	41.384398	2.118231
88	417.78	970.2	23.58	63.3	16.2	2.23	284	2.2	-0.5	41.384398	2.118242
89	421.09	969.8	23.55	63.3	16.2	2.16	284.7	2.1	-0.5	41.384415	2.118254
90	427.22	969.1	23.49	63.3	16.1	2.11	284.7	2	-0.5	41.384432	2.118265
91	431.64	968.6	23.49	63.4	16.1	2.07	284.6	2	-0.5	41.384438	2.118271
92	435.88	968.2	23.49	63.3	16.1	2.04	284.5	2	-0.5	41.384426	2.118282
93	441.02	967.6	23.52	63	16.1	2	284.2	1.9	-0.5	41.384409	2.118305
94	444.45	967.2	23.52	62.4	15.9	1.96	283.2	1.9	-0.4	41.384392	2.11834
95	450.21	966.6	23.55	62.3	15.9	1.91	281.7	1.9	-0.4	41.384375	2.118374
96	454.64	966.1	23.49	62.4	15.9	1.84	279.8	1.8	-0.3	41.384358	2.118403
97	459.46	965.5	23.49	62.2	15.8	1.79	277.4	1.8	-0.2	41.384363	2.11842
98	462.2	965.2	23.46	62.2	15.8	1.77	274.7	1.8	-0.1	41.384386	2.118414
99	466.92	964.7	23.43	62.2	15.8	1.76	272	1.8	-0.1	41.384398	2.118397
100	473.78	964	23.37	62.3	15.8	1.77	269.9	1.8	0	41.384381	2.118391
101	477.35	963.6	23.34	62.2	15.7	1.77	268.3	1.8	0.1	41.384369	2.118408
102	480.53	963.2	23.31	62.1	15.6	1.76	266.5	1.8	0.1	41.384363	2.11842
103	485.3	962.7	23.31	62.2	15.7	1.74	264.3	1.7	0.2	41.384375	2.11842
104	488.71	962.3	23.31	62.2	15.7	1.72	262	1.7	0.2	41.384381	2.118414
