ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1007.5	28.16	69.5	22	1.17	29	-2.4	5.3	41.384507	2.117474
6	127.24	1004.2	26.76	100	26.8	5.87	155.8	-2.4	5.4	41.384415	2.118133
14	149.41	1002.3	25.91	92.7	24.6	5.88	155.9	-2.4	5.4	41.384845	2.117291
15	155.83	1001.6	25.88	90.9	24.3	5.86	156.1	-2.4	5.4	41.384833	2.117268
16	160.23	1001.1	25.88	89.8	24.1	5.81	156.4	-2.3	5.3	41.384805	2.117211
17	168.3	1000.2	26.07	88.2	24	5.75	157	-2.2	5.3	41.384805	2.117182
18	174.36	999.5	26.22	87.1	23.9	5.72	158.1	-2.1	5.3	41.38485	2.117188
19	179.84	998.9	26.26	86.4	23.8	5.7	159.3	-2	5.3	41.384919	2.117182
20	186.62	998.1	26.04	85.3	23.4	5.71	160.5	-1.9	5.4	41.384965	2.117125
21	192.33	997.5	25.76	84.8	23	5.74	161.5	-1.8	5.4	41.384982	2.117068
22	200.23	996.6	25.85	84.2	23	5.77	162.9	-1.7	5.5	41.384994	2.117056
23	207.11	995.8	25.64	83.7	22.7	5.83	164.6	-1.5	5.6	41.385017	2.117091
24	211.44	995.3	25.55	83.4	22.5	5.88	166.4	-1.4	5.7	41.385057	2.117125
25	217.6	994.6	25.52	83	22.4	5.95	167.7	-1.3	5.8	41.385103	2.117085
26	221.93	994.1	25.55	82.7	22.4	6.06	168.8	-1.2	5.9	41.385137	2.117016
28	236.13	992.5	25.33	82.2	22.1	6.25	170	-1.1	6.2	41.3852	2.116919
29	244.35	991.6	25.24	82.3	22	6.47	171.2	-1	6.4	41.385246	2.116907
30	247.95	991.2	25.18	82.1	21.9	6.68	172.1	-0.9	6.6	41.385292	2.116901
31	253.09	990.6	25.12	81.9	21.8	6.85	172.5	-0.9	6.8	41.385315	2.116896
32	260.05	989.8	25.12	81.8	21.8	7	173	-0.9	6.9	41.38532	2.116896
33	266.75	989.1	25.06	82	21.8	7.15	173.6	-0.8	7.1	41.385332	2.116896
34	273.2	988.4	24.97	82	21.7	7.34	173.9	-0.8	7.3	41.385366	2.11689
35	279.32	987.7	24.88	82	21.6	7.51	173.9	-0.8	7.5	41.3854	2.11689
36	283.12	987.3	24.94	82	21.7	7.68	173.6	-0.9	7.6	41.385435	2.116896
37	288.74	986.6	24.82	82.1	21.6	7.83	173.5	-0.9	7.8	41.385481	2.116919
38	294.86	985.9	24.79	82.2	21.5	7.93	173.5	-0.9	7.9	41.385532	2.116936
39	300.6	985.3	24.79	82.3	21.6	7.99	173.4	-0.9	7.9	41.385567	2.116947
40	305.64	984.7	24.79	82.4	21.6	7.99	173.3	-0.9	7.9	41.385595	2.116964
41	311.82	984	24.76	82.4	21.6	7.99	173.2	-0.9	7.9	41.385618	2.116976
42	317.87	983.4	24.64	82.4	21.4	8	173.2	-0.9	7.9	41.385635	2.116982
43	324.35	982.6	24.61	82.6	21.4	8.04	173	-1	8	41.385664	2.116993
44	331.09	981.9	24.4	82.6	21.2	8.08	172.8	-1	8	41.385704	2.116987
45	337.4	981.2	24.31	82.8	21.2	8.1	172.8	-1	8	41.385744	2.116964
46	343.58	980.5	24.34	83	21.3	8.1	173	-1	8	41.385784	2.116947
47	350.14	979.8	24.28	83.1	21.2	8.09	173.4	-0.9	8	41.385836	2.116936
48	356.47	979.1	24.15	83.3	21.1	8.08	173.7	-0.9	8	41.385887	2.11693
49	362.82	978.4	24.06	83.6	21.1	8.06	173.8	-0.9	8	41.385956	2.116919
50	369.29	977.6	23.94	83.8	21	8.04	173.7	-0.9	8	41.386014	2.116901
51	375.44	976.9	23.86	83.9	21	8.02	173.4	-0.9	8	41.386054	2.116879
52	381.61	976.3	23.59	84.1	20.7	8.02	173.1	-1	8	41.386094	2.116861
53	387.56	975.6	23.38	84.4	20.6	8.03	172.6	-1	8	41.386134	2.116838
54	393.91	974.9	23.27	84.7	20.5	8.03	172.1	-1.1	8	41.386168	2.11681
55	400.66	974.1	23.18	85.1	20.5	8.03	171.5	-1.2	7.9	41.386197	2.116781
56	405.91	973.6	23.12	85.3	20.5	8.04	170.7	-1.3	7.9	41.386237	2.116764
57	412.62	972.8	23.06	85.5	20.5	8.06	169.9	-1.4	7.9	41.386271	2.116747
58	418.36	972.2	23	85.8	20.5	8.09	169.1	-1.5	7.9	41.3863	2.116724
59	423.7	971.6	22.97	86.1	20.5	8.12	168.4	-1.6	8	41.386334	2.116712
60	429.57	970.9	23	86.4	20.6	8.15	167.8	-1.7	8	41.386374	2.116707
61	436.91	970.1	23.09	86.6	20.7	8.18	167.4	-1.8	8	41.386415	2.116689
62	442.79	969.5	23.12	86.7	20.8	8.19	167.1	-1.8	8	41.386449	2.116672
63	447.22	969	23.15	86.9	20.8	8.18	167	-1.8	8	41.386478	2.116661
64	454.01	968.2	23	87.2	20.8	8.16	167	-1.8	7.9	41.386506	2.116678
65	460.43	967.5	22.91	87.7	20.8	8.11	167.1	-1.8	7.9	41.386535	2.116707
66	465.97	966.9	22.8	88.1	20.7	8.06	167.1	-1.8	7.9	41.386569	2.11673
67	471.97	966.2	22.62	88.5	20.6	8	167.2	-1.8	7.8	41.386592	2.116735
68	479.16	965.4	22.48	88.9	20.6	7.94	167.5	-1.7	7.7	41.386615	2.116747
69	483.82	964.9	22.42	89.1	20.5	7.89	167.8	-1.7	7.7	41.386644	2.116752
70	489.73	964.3	22.36	89.3	20.5	7.85	168.2	-1.6	7.7	41.386672	2.116735
71	497.01	963.5	22.28	89.7	20.5	7.81	168.7	-1.5	7.7	41.386701	2.116707
72	502.01	962.9	22.22	89.9	20.5	7.76	169.1	-1.5	7.6	41.386735	2.116678
73	508.35	962.2	22.16	90.3	20.5	7.71	169.7	-1.4	7.6	41.38677	2.116638
74	515.72	961.4	22.08	90.6	20.5	7.66	170.2	-1.3	7.5	41.38681	2.116609
75	519.87	960.9	22.05	90.9	20.5	7.61	170.6	-1.2	7.5	41.386856	2.116586
76	526.14	960.3	21.96	91.1	20.4	7.57	170.9	-1.2	7.5	41.386913	2.116563
77	532.87	959.5	21.93	91.5	20.5	7.54	171.2	-1.2	7.5	41.386959	2.116546
78	538.38	958.9	21.88	91.7	20.5	7.53	171.4	-1.1	7.4	41.387005	2.11654
79	545.01	958.2	21.85	91.8	20.5	7.5	171.5	-1.1	7.4	41.387045	2.116546
80	550.16	957.6	21.79	92	20.4	7.46	171.6	-1.1	7.4	41.387091	2.116558
81	556.63	956.9	21.74	92.2	20.4	7.41	171.7	-1.1	7.3	41.387131	2.116558
82	562.64	956.2	21.68	92.3	20.4	7.36	171.9	-1	7.3	41.387165	2.116552
83	567.7	955.7	21.65	92.5	20.4	7.3	172.2	-1	7.2	41.387194	2.11654
84	572.59	955.1	21.59	92.7	20.4	7.24	172.5	-0.9	7.2	41.387228	2.116506
85	578.62	954.5	21.54	93	20.4	7.18	172.9	-0.9	7.1	41.387251	2.116466
86	582.93	954	21.48	93.2	20.3	7.11	173.4	-0.8	7.1	41.387274	2.116437
87	588.83	953.4	21.42	93.4	20.3	7.02	174	-0.7	7	41.387314	2.116432
88	595.11	952.7	21.4	93.5	20.3	6.89	174.7	-0.6	6.9	41.38736	2.116437
89	601.01	952	21.37	93.7	20.3	6.74	175.6	-0.5	6.7	41.387412	2.116449
90	607.67	951.3	21.31	94	20.3	6.58	176.6	-0.4	6.6	41.387446	2.116472
91	612.52	950.8	21.25	94.2	20.3	6.41	177.8	-0.3	6.4	41.387469	2.116489
92	618.03	950.2	21.23	94.4	20.3	6.25	178.9	-0.1	6.2	41.387492	2.116512
93	624.59	949.5	21.14	94.7	20.3	6.09	180.1	0	6.1	41.387509	2.116512
94	631.1	948.7	21.06	95	20.2	5.94	181.3	0.1	5.9	41.38752	2.116495
95	637.64	948	20.97	95.2	20.2	5.8	182.5	0.2	5.8	41.387538	2.116483
96	644.53	947.3	20.92	95.3	20.1	5.68	183.8	0.4	5.7	41.387572	2.116477
97	650.32	946.7	20.92	95.4	20.2	5.58	185.4	0.5	5.6	41.387618	2.116472
98	655.91	946	20.92	95.6	20.2	5.51	187.2	0.7	5.5	41.387652	2.116472
99	660.29	945.6	20.89	95.7	20.2	5.46	189	0.9	5.4	41.387675	2.116483
100	665.38	945	20.86	95.9	20.2	5.41	190.8	1	5.3	41.387692	2.116518
101	672.23	944.3	20.81	96	20.1	5.38	192.6	1.2	5.3	41.387709	2.116546
102	678.34	943.6	20.81	96.2	20.2	5.38	194.2	1.3	5.2	41.387721	2.116569
103	684.82	942.9	20.75	96.3	20.1	5.39	195.6	1.4	5.2	41.387732	2.116586
104	691.45	942.2	20.69	96.3	20.1	5.4	196.8	1.6	5.2	41.38775	2.116586
105	696.59	941.6	20.64	96.4	20	5.43	197.8	1.7	5.2	41.387772	2.116569
106	701.09	941.1	20.58	96.5	20	5.46	198.6	1.7	5.2	41.387795	2.116535
107	706.6	940.5	20.56	96.7	20	5.49	199.1	1.8	5.2	41.387807	2.116512
108	713.63	939.8	20.5	96.9	20	5.51	199.3	1.8	5.2	41.387824	2.116512
109	718.35	939.3	20.44	96.9	19.9	5.51	199.4	1.8	5.2	41.387853	2.116523
110	723.95	938.7	20.36	97.2	19.9	5.51	199.2	1.8	5.2	41.387876	2.116558
111	729.95	938	20.31	97.4	19.9	5.5	198.7	1.8	5.2	41.387893	2.116609
112	735.34	937.4	20.25	97.6	19.9	5.48	198.2	1.7	5.2	41.387921	2.116655
113	741.52	936.8	20.17	97.8	19.8	5.43	197.7	1.6	5.2	41.387944	2.116684
114	748.04	936.1	20.11	97.9	19.8	5.36	197.2	1.6	5.1	41.387962	2.116695
116	760.22	934.7	20.09	98	19.8	5.29	196.7	1.5	5.1	41.387996	2.116707
117	767.48	934	20	98.1	19.7	5.21	196.3	1.5	5	41.388019	2.116707
118	772.91	933.4	19.98	98.2	19.7	5.11	196.1	1.4	4.9	41.388048	2.116707
119	779.39	932.7	19.95	98.2	19.7	5	196.4	1.4	4.8	41.388082	2.116718
120	786.02	932	19.89	98.3	19.6	4.89	196.9	1.4	4.7	41.388122	2.116747
121	792.9	931.2	19.89	98.4	19.6	4.76	197.9	1.5	4.5	41.388156	2.116781
122	799.32	930.5	19.84	98.4	19.6	4.62	199.2	1.5	4.4	41.388185	2.116821
123	806.78	929.7	19.81	98.5	19.6	4.48	200.7	1.6	4.2	41.388219	2.116861
124	813.74	929	19.76	98.6	19.5	4.33	202.2	1.6	4	41.388248	2.116884
125	821.21	928.2	19.73	98.5	19.5	4.18	203.4	1.7	3.8	41.388271	2.116884
126	826.94	927.6	19.7	98.5	19.5	4.01	204.4	1.7	3.7	41.388294	2.116873
127	830.77	927.1	19.67	98.5	19.4	3.82	205.4	1.6	3.4	41.388317	2.116856
128	835.5	926.6	19.65	98.6	19.4	3.6	206.7	1.6	3.2	41.388357	2.116833
129	839.37	926.2	19.65	98.6	19.4	3.36	208.1	1.6	3	41.388397	2.116798
130	845.08	925.6	19.62	98.8	19.4	3.11	209.6	1.5	2.7	41.388426	2.11677
131	851.82	924.9	19.59	98.8	19.4	2.86	211	1.5	2.5	41.388437	2.116764
132	857.04	924.3	19.54	98.6	19.3	2.63	212.1	1.4	2.2	41.388449	2.11677
133	863.55	923.6	19.48	98.5	19.2	2.43	212.8	1.3	2	41.388437	2.116781
134	868.42	923.1	19.48	98.7	19.3	2.24	213.4	1.2	1.9	41.38842	2.116804
135	874.13	922.5	19.4	98.4	19.1	2.06	214.7	1.2	1.7	41.388414	2.116821
136	880.04	921.9	19.38	98	19.1	1.9	217.3	1.2	1.5	41.388431	2.116833
138	889.6	920.9	19.38	97.8	19	1.77	221.8	1.2	1.3	41.38846	2.116821
140	900.96	919.6	19.32	97.6	18.9	1.69	227.9	1.3	1.1	41.388443	2.116815
141	907.15	919	19.32	97.4	18.9	1.68	235.1	1.4	1	41.388431	2.116838
142	911.58	918.5	19.32	97.4	18.9	1.72	242.4	1.5	0.8	41.38842	2.116861
143	916.29	918	19.29	97.4	18.9	1.81	249	1.7	0.6	41.388408	2.116896
144	922.59	917.3	19.27	97.3	18.8	1.93	254.5	1.9	0.5	41.388386	2.116942
145	928.91	916.7	19.27	97.3	18.8	2.07	259	2	0.4	41.38838	2.116976
146	935.35	916	19.21	97.2	18.8	2.2	262.9	2.2	0.3	41.388374	2.116982
147	941.67	915.3	19.19	97.1	18.7	2.35	266.3	2.3	0.2	41.38838	2.116964
148	945	915	19.21	97.2	18.8	2.49	269	2.5	0	41.38838	2.11693
149	950.22	914.4	19.19	97.3	18.8	2.64	271.3	2.6	-0.1	41.388357	2.116896
150	956.16	913.8	19.16	97.3	18.7	2.79	273.3	2.8	-0.2	41.388323	2.11689
