ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1003.5	28.49	52.6	17.9	7.58	203	1.8	13	41.384489	2.117532
2	109.27	1002.2	27.81	96.6	27.2	13.09	187.7	1.8	13	41.384656	2.117578
3	113.97	1001.7	27.68	93.6	26.6	13.08	187.9	1.8	13	41.384564	2.117635
4	118.51	1001.2	27.55	90.9	25.9	13.08	187.8	1.8	13	41.38461	2.116959
5	124.34	1000.5	27.3	88.2	25.2	13.13	187.6	1.7	13	41.384054	2.116844
6	129.5	1000	26.86	85.8	24.3	13.17	187.4	1.7	13.1	41.384444	2.116896
8	136.75	999.1	26.3	82.2	23	13.17	187.4	1.7	13.1	41.384787	2.116964
9	140.21	998.7	26.15	79.9	22.4	13.24	187.6	1.7	13.1	41.384856	2.11701
10	148.14	997.8	26.05	78.5	22	13.34	187.6	1.8	13.2	41.384936	2.117091
11	153.65	997.2	26.02	77.1	21.7	13.44	187.7	1.8	13.3	41.385005	2.117136
12	160.05	996.5	25.93	76.1	21.4	13.56	187.9	1.9	13.4	41.385091	2.117159
13	166.16	995.8	25.84	75.4	21.2	13.72	188.3	2	13.6	41.385183	2.117159
15	199.32	992.1	25.72	74.4	20.8	13.94	188.7	2.1	13.8	41.385372	2.11744
19	205.48	991.4	25.59	72.6	20.3	14.19	188.8	2.2	14	41.38579	2.1176
20	209.83	990.9	25.53	72.8	20.3	14.4	189	2.3	14.2	41.38587	2.117635
21	214.94	990.3	25.5	73.5	20.4	14.63	189.7	2.5	14.4	41.385962	2.117629
22	219.7	989.8	25.41	73.3	20.3	14.88	190.4	2.7	14.6	41.386031	2.117606
23	223.59	989.4	25.38	74.1	20.4	15.18	191	2.9	14.9	41.386071	2.117623
24	226.94	989	25.35	73.9	20.4	15.46	191.3	3	15.2	41.386151	2.117675
25	229.97	988.6	25.29	74.2	20.4	15.72	191.6	3.2	15.4	41.38626	2.117692
26	235.64	988	25.2	74.4	20.3	15.99	192	3.3	15.6	41.386352	2.117669
27	239.73	987.5	25.2	73.8	20.2	16.26	192.4	3.5	15.9	41.386415	2.117663
28	243.77	987.1	25.14	74	20.2	16.48	192.6	3.6	16.1	41.38646	2.117715
29	248.63	986.5	25.08	75.5	20.4	16.62	192.9	3.7	16.2	41.386535	2.117795
30	253.66	986	25.08	75.6	20.5	16.73	193.2	3.8	16.3	41.386632	2.117807
31	256.66	985.7	25.05	75.7	20.5	16.86	193.6	4	16.4	41.386707	2.117772
32	260.52	985.2	25.02	75.7	20.4	16.97	193.7	4	16.5	41.386753	2.11779
33	264.33	984.8	24.96	76	20.4	17.08	193.8	4.1	16.6	41.386816	2.117847
34	268.46	984.3	24.93	76	20.4	17.19	193.8	4.1	16.7	41.386907	2.117847
36	272.69	983.9	24.87	76.2	20.4	17.24	193.9	4.1	16.7	41.387096	2.117812
37	280.45	983	24.84	76.3	20.4	17.29	194.1	4.2	16.8	41.387148	2.117858
38	285.23	982.5	24.78	76.5	20.4	17.35	194.4	4.3	16.8	41.387211	2.117938
39	289.23	982	24.75	76.6	20.4	17.4	194.5	4.4	16.8	41.387297	2.118007
40	293.82	981.5	24.69	76.9	20.4	17.44	194.6	4.4	16.9	41.387394	2.118036
41	297.7	981.1	24.63	77	20.3	17.5	194.7	4.4	16.9	41.387469	2.118024
42	301.74	980.6	24.6	77	20.3	17.58	195	4.5	17	41.387532	2.118047
43	305.78	980.2	24.57	76.5	20.2	17.68	195.2	4.6	17.1	41.387606	2.118133
44	309.2	979.8	24.57	76.6	20.2	17.77	195.3	4.7	17.1	41.387704	2.118168
45	312.45	979.4	24.51	77.6	20.3	17.79	195.5	4.7	17.1	41.38779	2.118156
46	316.23	979	24.48	77.6	20.3	17.79	195.9	4.9	17.1	41.387858	2.118173
47	320.1	978.6	24.45	77.9	20.3	17.84	196.3	5	17.1	41.387921	2.118242
48	323.89	978.1	24.42	76.9	20.1	17.9	196.4	5.1	17.2	41.388007	2.118317
49	327.03	977.8	24.36	78.2	20.3	17.9	196.4	5.1	17.2	41.388111	2.118305
50	330.76	977.4	24.33	78.1	20.3	17.86	196.5	5.1	17.1	41.388162	2.118288
