ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1004.1	28.38	64.4	21	5.05	95	-9.2	1.6	41.384656	2.117434
8	144.22	998.9	26.21	93.8	25.1	9.33	99.7	-9.2	1.6	41.38461	2.117188
16	153.64	997.8	25.17	87.6	23	9.31	99.8	-9.2	1.6	41.384856	2.116936
17	159.81	997.1	25.23	87.3	23	9.3	100.2	-9.2	1.6	41.384827	2.116919
18	164.07	996.6	25.23	86.9	22.9	9.27	100.3	-9.1	1.7	41.384799	2.11685
19	168.5	996.1	24.99	86.6	22.6	9.24	100.2	-9.1	1.6	41.384816	2.116718
20	172.6	995.7	24.81	86.8	22.5	9.18	100	-9	1.6	41.384856	2.116603
21	178.06	995	24.99	86.9	22.7	9.11	99.8	-9	1.5	41.384873	2.116535
22	184.03	994.4	25.08	86.8	22.7	9.06	99.9	-8.9	1.6	41.384873	2.116483
23	190.52	993.6	24.93	86.6	22.5	9.04	100.1	-8.9	1.6	41.384856	2.116443
24	196.49	993	24.87	86.6	22.5	9.02	100.2	-8.9	1.6	41.38485	2.116397
25	202.89	992.2	24.81	86.4	22.4	9.02	100.1	-8.9	1.6	41.384856	2.11634
26	207.69	991.7	24.75	86.1	22.3	9.02	99.9	-8.9	1.6	41.384856	2.116265
28	220.61	990.2	24.57	86.3	22.1	9.06	99.5	-8.9	1.5	41.384908	2.116094
29	227.98	989.4	24.3	86.5	21.9	9.1	99	-9	1.4	41.384931	2.116048
30	234.59	988.7	24.3	86.7	21.9	9.13	98.6	-9	1.4	41.384936	2.116048
31	240.98	988	24.39	86.7	22	9.16	98.3	-9.1	1.3	41.384925	2.116053
32	247.19	987.3	24.15	86.8	21.8	9.18	98	-9.1	1.3	41.384908	2.116008
33	253.14	986.6	24.06	87	21.8	9.2	97.7	-9.1	1.2	41.384908	2.11595
34	258.63	986	23.91	87.2	21.6	9.2	97.1	-9.1	1.1	41.384931	2.115887
35	264.72	985.3	23.88	87.6	21.7	9.18	96.7	-9.1	1.1	41.384959	2.115841
36	271.59	984.5	23.88	87.7	21.7	9.17	96.3	-9.1	1	41.384971	2.115801
37	277.89	983.8	23.79	87.8	21.6	9.13	96.2	-9.1	1	41.384976	2.115773
38	284.63	983.1	23.7	88	21.6	9.07	96.2	-9	1	41.384982	2.115715
39	290.98	982.3	23.67	88.1	21.6	8.96	96.2	-8.9	1	41.384982	2.115652
40	297.58	981.6	23.7	87.8	21.6	8.84	96	-8.8	0.9	41.384971	2.115607
42	310.86	980.1	23.7	88.2	21.6	8.74	95.7	-8.7	0.9	41.384971	2.115538
43	317.38	979.4	23.7	88.3	21.6	8.7	95.6	-8.7	0.8	41.384971	2.11544
44	322.51	978.8	23.62	88.4	21.6	8.67	95.7	-8.6	0.9	41.384988	2.115343
45	328.03	978.2	23.53	88.2	21.5	8.64	96.1	-8.6	0.9	41.385022	2.115274
46	334.05	977.5	23.44	88.7	21.5	8.58	96.5	-8.5	1	41.385051	2.115234
47	340.06	976.9	23.38	88.7	21.4	8.52	96.7	-8.5	1	41.385039	2.115211
48	346.29	976.2	23.29	88	21.2	8.46	96.7	-8.4	1	41.385022	2.115171
49	352.5	975.5	23.18	88.1	21.1	8.4	96.5	-8.3	0.9	41.385017	2.115114
50	359.04	974.8	23.12	88.9	21.2	8.34	96.1	-8.3	0.9	41.384999	2.115045
51	366.08	974	23.06	89.4	21.2	8.3	96.1	-8.3	0.9	41.384982	2.114976
52	373.08	973.2	23	89.6	21.2	8.26	96.4	-8.2	0.9	41.384988	2.114919
53	379.85	972.4	22.94	90.2	21.2	8.18	96.9	-8.1	1	41.385005	2.114885
54	385.38	971.8	22.88	90	21.2	8.05	97.4	-8	1	41.385011	2.114839
55	391.32	971.2	22.86	89.8	21.1	7.9	97.6	-7.8	1	41.385005	2.114776
56	396.19	970.6	22.8	90.3	21.1	7.73	97.5	-7.7	1	41.385005	2.114701
57	401.42	970	22.71	90.4	21.1	7.56	97.4	-7.5	1	41.385022	2.114661
58	406.72	969.5	22.62	90.3	20.9	7.37	97.5	-7.3	1	41.385051	2.114627
59	413.56	968.7	22.6	89.1	20.7	7.16	98	-7.1	1	41.38508	2.114592
60	420.28	968	22.54	89.9	20.8	6.94	98.7	-6.9	1	41.385091	2.114564
61	426.11	967.3	22.48	90.2	20.8	6.71	99.5	-6.6	1.1	41.385062	2.114529
62	431.89	966.7	22.42	91	20.9	6.47	100.3	-6.4	1.2	41.385034	2.114495
63	439.18	965.9	22.36	90.8	20.8	6.2	100.9	-6.1	1.2	41.385022	2.114472
64	446.15	965.1	22.34	90.3	20.7	5.94	101.5	-5.8	1.2	41.385039	2.114443
65	450.4	964.6	22.28	91.4	20.8	5.69	102.2	-5.6	1.2	41.38508	2.114392
66	454.81	964.1	22.22	91.3	20.7	5.45	103.3	-5.3	1.3	41.385125	2.114352
67	459.61	963.6	22.16	91.5	20.7	5.23	104.5	-5.1	1.3	41.385131	2.114317
68	465.27	963	22.16	89	20.3	5.02	105.8	-4.8	1.4	41.385108	2.114277
69	471.82	962.3	22.25	88.7	20.3	4.81	106.8	-4.6	1.4	41.385091	2.114249
70	478.31	961.5	22.31	87.6	20.2	4.6	107.4	-4.4	1.4	41.385085	2.114226
71	484.8	960.8	22.19	88.7	20.2	4.4	108.2	-4.2	1.4	41.385091	2.114186
72	490.5	960.2	22.14	89	20.2	4.2	109.4	-4	1.4	41.385114	2.114146
73	496.13	959.6	22.14	88.4	20.1	4.01	110.8	-3.8	1.4	41.385137	2.114123
74	501.13	959	22.02	91.1	20.5	3.87	112.4	-3.6	1.5	41.385148	2.1141
75	505.59	958.5	21.91	89.9	20.2	3.73	114	-3.4	1.5	41.385154	2.114077
76	510.36	958	22.11	84.3	19.3	3.6	115	-3.3	1.5	41.38516	2.114071
77	515.61	957.4	22.31	82.9	19.3	3.47	115.5	-3.1	1.5	41.385166	2.114071
78	520.71	956.9	22.34	83	19.3	3.34	116.3	-3	1.5	41.385183	2.114065
79	526.12	956.3	22.25	83.7	19.4	3.21	117.7	-2.8	1.5	41.385194	2.114065
80	532.09	955.6	22.02	87.9	19.9	3.1	119.8	-2.7	1.5	41.385206	2.114065
81	537.37	955.1	21.91	87.7	19.8	3.02	122.4	-2.5	1.6	41.3852	2.114048
82	542.42	954.5	21.88	86.6	19.5	2.95	124.7	-2.4	1.7	41.385194	2.114025
83	547.96	953.9	21.88	85.3	19.3	2.88	126.1	-2.3	1.7	41.385188	2.114014
84	552.99	953.3	21.77	87	19.5	2.79	127.2	-2.2	1.7	41.385188	2.114014
85	557.86	952.8	21.77	85.9	19.3	2.69	128.5	-2.1	1.7	41.385206	2.114014
86	562.92	952.3	21.77	86.1	19.3	2.6	130.4	-2	1.7	41.385223	2.114014
87	567.71	951.7	21.68	86.4	19.3	2.53	132.6	-1.9	1.7	41.385234	2.113991
88	571.88	951.3	21.77	83	18.8	2.5	135.3	-1.8	1.8	41.385246	2.113956
89	576.65	950.8	21.82	82.9	18.8	2.5	137.4	-1.7	1.8	41.385251	2.113934
90	581.6	950.2	21.79	82.9	18.8	2.5	139.2	-1.6	1.9	41.385257	2.113928
91	586.42	949.7	21.71	83.6	18.8	2.5	140.8	-1.6	1.9	41.385257	2.113945
92	591.84	949.1	21.65	83.1	18.7	2.51	142.7	-1.5	2	41.385269	2.113968
93	597.24	948.5	21.74	81.3	18.4	2.54	144.9	-1.5	2.1	41.38528	2.113974
95	607.03	947.4	21.6	82.7	18.5	2.61	147.4	-1.4	2.2	41.385297	2.113911
96	612.32	946.9	21.6	82.6	18.5	2.7	149.5	-1.4	2.3	41.385309	2.11387
97	617.58	946.3	21.51	82.6	18.4	2.82	150.9	-1.4	2.5	41.38532	2.113842
98	622.98	945.7	21.57	80.6	18.1	2.95	152.1	-1.4	2.6	41.385332	2.113825
99	627.58	945.2	21.54	81.1	18.2	3.08	153.5	-1.4	2.8	41.385343	2.11383
100	633	944.6	21.57	79	17.8	3.2	155.4	-1.3	2.9	41.385355	2.113836
101	638.45	944	21.68	77.2	17.5	3.34	157.5	-1.3	3.1	41.385366	2.11383
102	643.84	943.4	21.71	76.1	17.3	3.48	159.4	-1.2	3.3	41.385383	2.113825
103	649.29	942.8	21.62	76.9	17.4	3.63	160.8	-1.2	3.4	41.385395	2.113802
104	654.69	942.3	21.6	76.3	17.2	3.78	161.5	-1.2	3.6	41.3854	2.113773
105	659.87	941.7	21.62	75.7	17.1	3.91	162.1	-1.2	3.7	41.385406	2.113762
106	664.21	941.2	21.57	76.2	17.2	4.04	163.1	-1.2	3.9	41.385406	2.113767
107	667.87	940.8	21.54	74.9	16.9	4.17	164.5	-1.1	4	41.385412	2.113767
108	671.63	940.4	21.6	72.2	16.4	4.31	166.2	-1	4.2	41.385435	2.113762
109	675.76	940	21.68	71.3	16.3	4.44	167.8	-0.9	4.3	41.385458	2.113762
110	679.54	939.6	21.71	71.7	16.4	4.55	168.9	-0.9	4.5	41.385486	2.113756
111	682.32	939.3	21.71	70.5	16.1	4.66	169.8	-0.8	4.6	41.385515	2.11375
112	686.1	938.9	21.62	72.4	16.4	4.76	170.5	-0.8	4.7	41.385544	2.113756
113	689.48	938.5	21.6	70.4	16	4.87	171.4	-0.7	4.8	41.385567	2.113756
114	693.01	938.1	21.6	70.2	15.9	5	172.4	-0.7	5	41.385595	2.113762
115	697.19	937.7	21.65	68.6	15.6	5.15	173.6	-0.6	5.1	41.385624	2.113762
116	700.21	937.3	21.68	69.6	15.9	5.31	174.7	-0.5	5.3	41.385653	2.113744
117	703.84	936.9	21.34	74.9	16.7	5.45	175.5	-0.4	5.4	41.385675	2.113716
