ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1009	26.52	34.8	9.7	2.33	304	5.5	-2.1	41.384489	2.11748
1	102.89	1008.5	26.8	53.5	16.6	5.9	290.8	5.5	-2.1	41.384461	2.117537
2	107.27	1008	26.87	51.7	16.1	5.95	290.5	5.6	-2.1	41.384449	2.117578
3	110.52	1007.6	26.9	50.4	15.7	6	290.4	5.6	-2.1	41.384449	2.117623
4	113.78	1007.2	26.84	49.3	15.3	6.07	290.8	5.7	-2.2	41.384426	2.117681
5	116.91	1006.9	26.8	48.4	15	6.12	291.2	5.7	-2.2	41.384398	2.117704
6	118.89	1006.6	26.84	47.3	14.7	6.16	291.7	5.7	-2.3	41.384386	2.117675
7	122.93	1006.2	26.84	46.4	14.4	6.22	292.3	5.8	-2.4	41.384409	2.117663
8	126.28	1005.8	26.8	45.3	14	6.33	292.8	5.8	-2.5	41.384426	2.117704
9	130.01	1005.4	26.8	44.7	13.8	6.46	292.9	6	-2.5	41.384415	2.11779
10	132.64	1005.1	26.77	43.8	13.4	6.6	292.6	6.1	-2.5	41.384381	2.117858
11	136.92	1004.6	26.71	43.6	13.3	6.7	292.2	6.2	-2.5	41.384346	2.117864
12	141.04	1004.1	26.71	43.3	13.2	6.8	291.9	6.3	-2.5	41.384358	2.117875
13	143.9	1003.8	26.65	42.9	13	6.9	291.9	6.4	-2.6	41.384381	2.117938
14	146.61	1003.5	26.65	42.7	12.9	7.01	292.3	6.5	-2.7	41.384369	2.118036
15	149.99	1003.1	26.68	42.4	12.9	7.1	292.6	6.6	-2.7	41.384352	2.118105
16	152.87	1002.8	26.65	42.3	12.8	7.16	292.7	6.6	-2.8	41.38434	2.118116
17	155.86	1002.4	26.58	42.1	12.7	7.26	292.8	6.7	-2.8	41.384323	2.11811
19	184.59	999.2	26.68	41.5	12.5	7.38	292.8	6.8	-2.9	41.384249	2.118236
24	189.39	998.6	26.68	40.9	12.3	7.48	292.9	6.9	-2.9	41.384077	2.118431
25	192.17	998.3	26.71	40.8	12.3	7.52	292.9	6.9	-2.9	41.384043	2.118494
26	195.27	998	26.71	40.7	12.3	7.53	292.9	6.9	-2.9	41.384002	2.118563
27	198.3	997.6	26.68	40.6	12.2	7.55	292.9	6.9	-2.9	41.383985	2.118637
28	201.74	997.2	26.68	40.5	12.2	7.55	293.2	6.9	-3	41.383991	2.118706
29	205.21	996.8	26.68	40.4	12.1	7.53	293.6	6.9	-3	41.384008	2.118752
