ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1005.9	26.54	36.2	10.3	0	0	0	-0.6	41.384507	2.117451
1	106.07	1005	26.15	61.1	18.1	0.62	355.6	0	-0.6	41.384512	2.117451
2	110.42	1004.5	26.52	59.7	18	0.58	356.3	0	-0.6	41.38453	2.117411
3	115.28	1003.9	26.61	58.1	17.7	0.55	357.9	0	-0.5	41.384564	2.117411
4	118.04	1003.6	26.61	57.3	17.5	0.53	0.6	-0	-0.5	41.384587	2.117411
6	129.8	1002.3	26.58	54.6	16.7	0.55	1	-0	-0.5	41.383733	2.11858
7	132.82	1002	26.58	54.3	16.6	0.58	359.8	0	-0.6	41.384088	2.118242
9	138.09	1001.4	26.52	51.8	15.8	0.6	359.7	0	-0.6	41.384169	2.118122
11	142.41	1000.9	26.46	50.5	15.4	0.62	360	0	-0.6	41.384255	2.117904
12	147.52	1000.3	26.43	49.8	15.1	0.67	358.3	0	-0.7	41.384318	2.117881
13	150.33	1000	26.46	49.1	14.9	0.74	355.4	0.1	-0.7	41.384272	2.117807
14	155.35	999.4	26.43	48.8	14.8	0.83	352	0.1	-0.8	41.384255	2.117807
15	163.38	998.5	26.33	48.5	14.6	0.93	348.1	0.2	-0.9	41.384409	2.117623
16	169.58	997.8	26.3	48.2	14.5	1.06	344.2	0.3	-1	41.384426	2.117566
17	179.61	996.7	26.24	48.1	14.4	1.19	341.3	0.4	-1.1	41.384438	2.117515
18	185.32	996	26.24	47.9	14.3	1.33	338.5	0.5	-1.2	41.384449	2.117492
19	190.97	995.4	26.18	47.9	14.3	1.43	335.6	0.6	-1.3	41.384444	2.11748
20	196.63	994.7	26.15	47.8	14.2	1.58	333	0.7	-1.4	41.384432	2.11748
21	201.8	994.1	26.06	47.8	14.1	1.76	330.6	0.9	-1.5	41.384432	2.11748
22	208.05	993.4	26	47.8	14.1	1.94	328.5	1	-1.7	41.384432	2.117492
23	213.54	992.8	25.97	47.7	14	2.09	326.8	1.1	-1.7	41.384444	2.117503
24	219.5	992.2	25.87	47.7	13.9	2.23	325.4	1.3	-1.8	41.384455	2.117515
25	225.42	991.5	25.84	47.6	13.9	2.38	323.7	1.4	-1.9	41.384449	2.117532
26	230.44	990.9	25.78	47.9	13.9	2.53	322	1.6	-2	41.384432	2.117532
27	235.54	990.3	25.72	48	13.9	2.7	320	1.7	-2.1	41.384409	2.117509
28	240.19	989.8	25.69	48.1	13.9	2.9	317.4	2	-2.1	41.384392	2.11748
29	244.58	989.3	25.6	48.1	13.8	3.16	314.9	2.2	-2.2	41.384363	2.117474
30	249.92	988.7	25.57	47.8	13.7	3.46	312.9	2.5	-2.4	41.38434	2.117509
31	255.02	988.2	25.51	48.4	13.8	3.73	311	2.8	-2.4	41.384318	2.117537
32	260.55	987.5	25.45	48.3	13.7	4.01	309.2	3.1	-2.5	41.384312	2.117572
33	265.64	987	25.42	48.3	13.7	4.28	307.7	3.4	-2.6	41.384306	2.117595
34	270.81	986.4	25.36	48.4	13.7	4.56	306.7	3.7	-2.7	41.384306	2.117606
35	276.16	985.8	25.3	48.5	13.7	4.83	305.9	3.9	-2.8	41.384318	2.117623
36	282.13	985.1	25.33	48.1	13.6	5.11	305.3	4.2	-3	41.384323	2.117629
37	288.15	984.4	25.27	48.4	13.6	5.4	304.9	4.4	-3.1	41.384312	2.117629
38	294.68	983.7	25.24	48.1	13.5	5.68	304.6	4.7	-3.2	41.384289	2.117635
39	299.81	983.1	25.21	48.4	13.5	5.95	304.2	4.9	-3.3	41.384266	2.117641
40	304.18	982.6	25.21	48.2	13.5	6.21	303.7	5.2	-3.4	41.384226	2.117675
41	308.65	982.1	25.21	47.8	13.4	6.45	303.2	5.4	-3.5	41.384186	2.117726
42	313.19	981.6	25.21	48	13.4	6.69	302.7	5.6	-3.6	41.384163	2.117772
43	319.35	980.9	25.08	48.2	13.4	6.94	302.3	5.9	-3.7	41.384146	2.117818
44	325.37	980.3	25.02	48.5	13.4	7.21	301.7	6.1	-3.8	41.384128	2.11787
45	329.98	979.8	24.99	48.7	13.4	7.5	301.2	6.4	-3.9	41.384117	2.117933
46	334.74	979.2	24.93	48.7	13.4	7.81	300.7	6.7	-4	41.384111	2.118013
47	338.64	978.8	24.99	47.7	13.1	8.14	300.3	7	-4.1	41.3841	2.118099
