ftr_time	ftr_alt	ftr_pres	ftr_temp	ftr_hum	ftr_DP	ftr_WF	ftr_WD	ftr_VEF	ftr_VNF	ftr_LAT	ftr_LON
0	98	1007.3	30.98	47.3	18.4	2.92	356	1	8.3	41.384552	2.117451
3	159.83	1000.3	27.93	95.9	27.2	8.38	186.8	1	8.3	41.384621	2.117434
5	163.13	999.9	27.68	90	25.9	8.48	187.2	1.1	8.4	41.384684	2.117457
6	167.44	999.5	27.61	87.6	25.4	8.59	187.4	1.1	8.5	41.384747	2.117457
7	172.42	998.9	27.68	86.1	25.1	8.7	187.2	1.1	8.6	41.384787	2.117406
8	178.48	998.2	27.52	84.9	24.7	8.81	187	1.1	8.7	41.384799	2.117366
9	182.57	997.8	27.36	83	24.2	8.93	186.9	1.1	8.9	41.384787	2.117394
10	186.14	997.4	27.61	81.6	24.2	9.1	187	1.1	9	41.38481	2.117451
11	189.16	997	27.74	80	24	9.28	187.3	1.2	9.2	41.384873	2.117497
12	193.06	996.6	27.81	79	23.8	9.45	187.6	1.3	9.4	41.384959	2.117474
13	196.07	996.2	27.58	78.1	23.4	9.58	188.1	1.4	9.5	41.385022	2.117417
14	199.35	995.9	27.52	77.4	23.2	9.62	188.6	1.4	9.5	41.385022	2.1174
15	202.77	995.5	27.55	76.8	23.1	9.65	189.1	1.5	9.5	41.385011	2.117446
16	207.27	995	27.42	76.6	22.9	9.66	189.2	1.6	9.5	41.385045	2.117537
17	211.79	994.5	27.3	76	22.7	9.71	189.5	1.6	9.6	41.385108	2.117612
18	216.64	993.9	27.2	75.7	22.5	9.81	190.3	1.8	9.6	41.385177	2.117618
19	220.31	993.5	27.23	75.4	22.5	9.92	191.3	1.9	9.7	41.385223	2.117566
22	235.2	991.9	26.86	75.6	22.2	10.05	192.2	2.1	9.8	41.385297	2.117492
23	239.42	991.4	26.67	75.3	21.9	10.15	192.8	2.2	9.9	41.385355	2.117543
24	243.57	990.9	26.64	75.3	21.9	10.23	193.3	2.4	10	41.385435	2.117595
25	248.32	990.4	26.64	75.3	21.9	10.31	194.1	2.5	10	41.385526	2.117629
26	253.05	989.9	26.36	75.9	21.8	10.37	195.1	2.7	10	41.38563	2.117658
27	259.16	989.2	26.24	76.2	21.7	10.49	195.9	2.9	10.1	41.385704	2.117669
28	264.09	988.6	26.24	76.3	21.7	10.59	196.4	3	10.2	41.38575	2.117663
29	266.95	988.3	26.14	76.6	21.7	10.68	196.8	3.1	10.2	41.385779	2.117663
31	277.31	987.2	26.08	76.8	21.7	10.75	197	3.1	10.3	41.38583	2.117692
32	283.33	986.5	26.11	76.8	21.7	10.8	197.3	3.2	10.3	41.385865	2.117709
33	289.47	985.8	26.05	76.8	21.7	10.83	197.7	3.3	10.3	41.38591	2.117738
34	295.6	985.1	25.99	76.9	21.6	10.85	198.3	3.4	10.3	41.385962	2.117778
35	301.73	984.4	25.93	77	21.6	10.84	198.9	3.5	10.3	41.386008	2.117795
36	308.55	983.7	25.84	77.2	21.5	10.82	199.4	3.6	10.2	41.386054	2.117795
37	315.53	982.9	25.81	77.3	21.5	10.77	199.8	3.7	10.1	41.386088	2.117778
38	321.74	982.2	25.78	77.5	21.5	10.68	200.2	3.7	10	41.386122	2.117767
39	327.83	981.5	25.68	77.7	21.5	10.55	200.8	3.7	9.9	41.386162	2.117784
40	334.57	980.8	25.59	78.1	21.5	10.45	201.6	3.9	9.7	41.386203	2.117807
41	340.44	980.1	25.5	78.2	21.4	10.37	202.7	4	9.6	41.386243	2.117841
42	347.75	979.3	25.41	78.3	21.4	10.32	203.6	4.1	9.5	41.3863	2.117898
43	353.79	978.7	25.38	78.7	21.4	10.25	204.3	4.2	9.3	41.386352	2.11795
44	361.03	977.8	25.29	78.7	21.3	10.13	204.7	4.2	9.2	41.386403	2.118002
45	367.66	977.1	25.26	78.8	21.3	9.99	205.1	4.2	9	41.386455	2.118059
46	375.17	976.3	25.17	79	21.3	9.86	205.7	4.3	8.9	41.386501	2.118093
47	382.06	975.5	25.14	79	21.2	9.76	206.3	4.3	8.8	41.386541	2.118105
48	385.72	975.1	25.05	79.6	21.3	9.71	206.9	4.4	8.7	41.386575	2.118105
49	390.54	974.6	24.96	80.3	21.3	9.69	207.6	4.5	8.6	41.386604	2.118105
50	397.93	973.8	24.84	80.4	21.2	9.68	208.2	4.6	8.5	41.386621	2.118116
51	403.96	973.1	24.84	80.6	21.3	9.66	208.9	4.7	8.5	41.386655	2.118139
52	409.17	972.5	24.78	80.7	21.2	9.64	209.5	4.7	8.4	41.386701	2.118185
53	413.95	972	24.72	80.9	21.2	9.6	210.3	4.8	8.3	41.386753	2.118248
54	418.89	971.4	24.72	81.1	21.3	9.55	211.1	4.9	8.2	41.386804	2.118311
55	426.01	970.7	24.69	81.4	21.3	9.51	211.9	5	8.1	41.38685	2.118362
56	434.17	969.8	24.6	81.4	21.2	9.47	212.7	5.1	8	41.386884	2.118408
57	442.13	968.9	24.51	81.3	21.1	9.44	213.4	5.2	7.9	41.386919	2.118448
58	450.47	968	24.42	81.5	21	9.39	214.2	5.3	7.8	41.386953	2.118483
59	458.41	967.1	24.39	81.8	21.1	9.33	214.9	5.3	7.6	41.386976	2.118511
60	465.39	966.3	24.33	81.9	21	9.28	215.6	5.4	7.5	41.387016	2.118534
61	471.8	965.6	24.3	82.5	21.1	9.23	216.3	5.5	7.4	41.387051	2.118552
62	478.96	964.8	23.94	83.7	21	9.17	216.8	5.5	7.3	41.387085	2.118563
63	485.98	964.1	23.97	83.7	21	9.09	217.2	5.5	7.2	41.387119	2.118574
64	492.82	963.3	23.88	83.8	21	9	217.5	5.5	7.1	41.387148	2.118592
65	500.41	962.5	23.97	83.5	21	8.88	217.8	5.4	7	41.387177	2.11862
66	507.44	961.7	23.91	83.4	20.9	8.75	218	5.4	6.9	41.387205	2.118649
67	514.36	961	23.82	83.5	20.9	8.62	218.3	5.3	6.8	41.387234	2.118689
68	521.68	960.2	23.76	84	20.9	8.49	218.5	5.3	6.7	41.387263	2.118729
